atomtype,smiles,idx_in_mol,mol_index,node_attentions,edge_attentions,prediction,truth
C,,10,0,"[0.3676568269729614, 0.38642778992652893, 0.368120014667511, 0.34724536538124084, 0.3899328410625458, 0.3392753601074219, 0.3393787741661072, 0.37009894847869873, 0.39574557542800903, 0.3776859641075134, 0.3274878263473511, 0.3858715295791626, 0.3660846948623657, 0.3666600286960602, 0.32726675271987915, 0.3910655677318573, 0.3522414565086365, 0.3592912256717682]","[0.2975393533706665, 0.2773817777633667, 0.3185959756374359, 0.7277082204818726, 0.3659737706184387, 0.7176729440689087, 0.37595486640930176, 0.6886632442474365, 0.7395675778388977, 0.3680851459503174, 0.7078055143356323, 0.22085881233215332, 0.2915443181991577, 0.2605289816856384, 0.7518154978752136, 0.3010730743408203, 0.72708660364151, 0.3086126148700714, 0.3755630552768707, 0.2123751938343048, 0.39082637429237366, 0.3741419315338135, 0.363057017326355, 0.3187105655670166, 0.3306381404399872, 0.31481635570526123, 0.35005253553390503, 0.392733633518219, 0.2653198838233948, 0.35936808586120605, 0.32041534781455994, 0.28883448243141174, 0.3185431957244873, 0.34487804770469666, 0.7337178587913513, 0.6904109716415405, 0.7508037686347961, 0.32052767276763916]",0.023089732974767685,0.0299
C,,11,0,"[0.36653998494148254, 0.5485683083534241, 0.4250422418117523, 0.38091883063316345, 0.39773717522621155, 0.3391534984111786, 0.3662909269332886, 0.41021132469177246, 0.33171629905700684, 0.40483126044273376, 0.3581332564353943, 0.4907628893852234, 0.6448020339012146, 0.36439424753189087, 0.379375696182251, 0.3768995404243469, 0.3984309434890747, 0.3903997242450714]","[0.29199573397636414, 0.3056602478027344, 0.27472826838493347, 0.7031129598617554, 0.5920892953872681, 0.31657925248146057, 0.378444105386734, 0.3757193982601166, 0.33537524938583374, 0.41091111302375793, 0.36261701583862305, 0.34575992822647095, 0.3436877429485321, 0.7102817296981812, 0.3017200827598572, 0.3631739616394043, 0.33017370104789734, 0.3251119554042816, 0.3486630916595459, 0.30656012892723083, 0.34963658452033997, 0.6274368762969971, 0.7166967988014221, 0.6710056662559509, 0.6673657894134521, 0.6157576441764832, 0.3639298677444458, 0.5767411589622498, 0.25449395179748535, 0.3606054186820984, 0.30004388093948364, 0.265603631734848, 0.6974764466285706, 0.3539888262748718, 0.30417197942733765, 0.26372015476226807, 0.7064998745918274, 0.3575453460216522]",0.6559084057807922,0.6508
O,,12,0,"[0.38246557116508484, 0.3911043405532837, 0.3675428330898285, 0.38928744196891785, 0.3770526945590973, 0.3649117052555084, 0.3981352150440216, 0.3529452383518219, 0.36280012130737305, 0.34841209650039673, 0.38461145758628845, 0.4012998044490814, 0.6053105592727661, 0.39468055963516235, 0.34999531507492065, 0.40017616748809814, 0.40895047783851624, 0.3892408013343811]","[0.6915996670722961, 0.6945370435714722, 0.3422263562679291, 0.348671555519104, 0.2744271755218506, 0.6770145297050476, 0.22108586132526398, 0.32709622383117676, 0.690400242805481, 0.2833947539329529, 0.731264054775238, 0.7891416549682617, 0.3528191149234772, 0.6935747861862183, 0.6821231842041016, 0.32279518246650696, 0.32196497917175293, 0.31956297159194946, 0.33563295006752014, 0.32016506791114807, 0.5181946754455566, 0.3682873547077179, 0.5755769610404968, 0.43288251757621765, 0.38609975576400757, 0.7285293936729431, 0.3515459895133972, 0.3562961518764496, 0.30858442187309265, 0.3233845829963684, 0.7216732501983643, 0.30679619312286377, 0.26901060342788696, 0.3726947009563446, 0.7486252784729004, 0.7799192070960999, 0.36950141191482544, 0.40165868401527405]",-0.562913179397583,-0.5629
H,,13,0,"[0.4092317819595337, 0.3995712399482727, 0.3747202157974243, 0.35896405577659607, 0.4061039388179779, 0.3647688031196594, 0.42777055501937866, 0.0, 0.4101606607437134, 0.42003709077835083, 0.35656699538230896, 0.393545925617218, 0.3569054901599884, 0.41138210892677307, 0.41325777769088745, 0.33747419714927673, 0.40386253595352173, 0.0]","[0.2875351309776306, 0.3827092945575714, 0.35556352138519287, 0.3431687355041504, 0.6780616641044617, 0.40059635043144226, 0.3125022053718567, 0.3605245351791382, 0.3230600953102112, 0.3726067841053009, 0.22853560745716095, 0.28449344635009766, 0.0, 0.0, 0.0, 0.0, 0.2908712923526764, 0.3627464473247528, 0.34887900948524475, 0.7023327350616455, 0.7536304593086243, 0.6888049244880676, 0.2605295181274414, 0.37536758184432983, 0.35309815406799316, 0.32459864020347595, 0.32608741521835327, 0.6962199807167053, 0.37994247674942017, 0.31712058186531067, 0.37723490595817566, 0.6947285532951355, 0.30127474665641785, 0.7216054797172546, 0.402876615524292, 0.7088289856910706, 0.0, 0.0]",0.14801479876041412,0.1518
H,,14,0,"[0.40011969208717346, 0.3511470556259155, 0.3951951265335083, 0.39990678429603577, 0.3918156623840332, 0.39511892199516296, 0.3593321740627289, 0.0, 0.3486758768558502, 0.3860677480697632, 0.39642423391342163, 0.3539423644542694, 0.3472786843776703, 0.35736480355262756, 0.3918241262435913, 0.36422181129455566, 0.3695999085903168, 0.0]","[0.7099922895431519, 0.2706957161426544, 0.7286084294319153, 0.33940649032592773, 0.7682890892028809, 0.3928614854812622, 0.7207356095314026, 0.33778855204582214, 0.3857859671115875, 0.3336755335330963, 0.29463860392570496, 0.21296259760856628, 0.0, 0.0, 0.0, 0.0, 0.7142208218574524, 0.7452466487884521, 0.24471239745616913, 0.700390636920929, 0.7529915571212769, 0.7032814025878906, 0.3566912114620209, 0.2537551522254944, 0.689093828201294, 0.3502742052078247, 0.6936282515525818, 0.7000530958175659, 0.7364164590835571, 0.7430073618888855, 0.4103482961654663, 0.7271882891654968, 0.3467787206172943, 0.30993518233299255, 0.7306073904037476, 0.2446386069059372, 0.0, 0.0]",0.14801479876041412,0.1412
H,,15,0,"[0.38555222749710083, 0.356602281332016, 0.3669258654117584, 0.38109922409057617, 0.4206082820892334, 0.39599576592445374, 0.3824935555458069, 0.0, 0.3914690315723419, 0.39488303661346436, 0.36681243777275085, 0.32616302371025085, 0.3836999833583832, 0.3642301559448242, 0.4043658673763275, 0.39372518658638, 0.39241260290145874, 0.0]","[0.7488225102424622, 0.756738543510437, 0.3953029215335846, 0.8213115930557251, 0.2942318022251129, 0.31424185633659363, 0.35978397727012634, 0.7192897200584412, 0.7167260050773621, 0.6964256167411804, 0.6922178268432617, 0.28191059827804565, 0.0, 0.0, 0.0, 0.0, 0.7127813100814819, 0.2737925946712494, 0.36597487330436707, 0.277353435754776, 0.3568051755428314, 0.7105843424797058, 0.3433142900466919, 0.7194074392318726, 0.33847731351852417, 0.3545479476451874, 0.3664863109588623, 0.7113575339317322, 0.7020187377929688, 0.2630697190761566, 0.3242185413837433, 0.26283353567123413, 0.3326229155063629, 0.692650556564331, 0.3049998879432678, 0.6804784536361694, 0.0, 0.0]",0.14801479876041412,0.1359
H,,16,0,"[0.38924163579940796, 0.37574857473373413, 0.334440678358078, 0.4025920331478119, 0.5912368297576904, 0.3652689754962921, 0.41102978587150574, 0.3875230550765991, 0.3878108859062195, 0.3904759883880615, 0.37260299921035767, 0.3808969557285309, 0.38299039006233215, 0.3719732165336609, 0.3684229850769043, 0.35120320320129395, 0.40827319025993347, 0.36667028069496155]","[0.7080002427101135, 0.33086681365966797, 0.2759148180484772, 0.3893570005893707, 0.2801816761493683, 0.34628182649612427, 0.583248496055603, 0.3193250000476837, 0.3409043848514557, 0.7148575782775879, 0.38465815782546997, 0.345746248960495, 0.7273935675621033, 0.294033944606781, 0.4126841425895691, 0.7274085879325867, 0.3298598527908325, 0.24764619767665863, 0.34704694151878357, 0.7304201126098633, 0.4062248170375824, 0.3378176689147949, 0.7185459733009338, 0.356096088886261, 0.3770417869091034, 0.3277144730091095, 0.7245311737060547, 0.3277212083339691, 0.2858738601207733, 0.2854701280593872, 0.33694687485694885, 0.248819500207901, 0.7692630887031555, 0.2792419493198395, 0.7057401537895203, 0.6642330288887024, 0.35637709498405457, 0.29883918166160583]",0.44693225622177124,0.4412
H,,17,0,"[0.3742274045944214, 0.3718854784965515, 0.4123309552669525, 0.0, 0.3989488482475281, 0.3744674324989319, 0.40991368889808655, 0.39005279541015625, 0.3834337890148163, 0.3456538915634155, 0.35500988364219666, 0.3891834616661072, 0.3840115964412689, 0.0, 0.0, 0.0, 0.3689112067222595, 0.3278040587902069]","[0.7010194659233093, 0.6917669177055359, 0.3286841809749603, 0.26931625604629517, 0.0, 0.0, 0.7531131505966187, 0.23687644302845, 0.7385218739509583, 0.2608366310596466, 0.2983703017234802, 0.3399225175380707, 0.3732980489730835, 0.3130010664463043, 0.3412363529205322, 0.38058561086654663, 0.7064927220344543, 0.3829266130924225, 0.7509887218475342, 0.23393943905830383, 0.7091577649116516, 0.3738238513469696, 0.7127532958984375, 0.33658191561698914, 0.7291450500488281, 0.691648542881012, 0.3912831246852875, 0.7427358031272888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7436413764953613, 0.3766862750053406, 0.3336102366447449, 0.3294323682785034]",0.1149604320526123,0.1109
O,[H]OC(=O)c1nc([H])c([H])nc1[H],0,1,"[0.606477677822113, 0.3573800027370453, 0.3541594445705414, 0.3526517450809479, 0.40152469277381897, 0.3934450149536133, 0.4082660377025604, 0.3605732321739197, 0.35384806990623474, 0.36585214734077454, 0.3750630021095276, 0.3862980008125305, 0.34781375527381897]","[0.7486188411712646, 0.4051441550254822, 0.31858888268470764, 0.689395546913147, 0.6805422902107239, 0.7987638115882874, 0.6893702745437622, 0.363182008266449, 0.6851286292076111, 0.6353595852851868, 0.7131549715995789, 0.32488688826560974, 0.7190349698066711, 0.3447945713996887, 0.30303266644477844, 0.3472881615161896, 0.7062049508094788, 0.3341982364654541, 0.27773329615592957, 0.37036770582199097, 0.7332376837730408, 0.7212468981742859, 0.23345287144184113, 0.7256447076797485, 0.29116329550743103, 0.2501342296600342]",-0.6256831288337708,-0.6299
C,,1,1,"[0.6591390371322632, 0.43774932622909546, 0.5830124616622925, 0.36747848987579346, 0.41189050674438477, 0.33497756719589233, 0.36209651827812195, 0.38138827681541443, 0.39052996039390564, 0.35134822130203247, 0.39373907446861267, 0.4041154086589813, 0.37777379155158997]","[0.5742821097373962, 0.5946202874183655, 0.5638486742973328, 0.6014960408210754, 0.6331049799919128, 0.3220394551753998, 0.3895341157913208, 0.6251463890075684, 0.3675897717475891, 0.4023260772228241, 0.31519806385040283, 0.29087764024734497, 0.2951013147830963, 0.7611942887306213, 0.3480151295661926, 0.20138075947761536, 0.7498688697814941, 0.6977391242980957, 0.27887073159217834, 0.7139577865600586, 0.6489688754081726, 0.3373546600341797, 0.36263802647590637, 0.6408942937850952, 0.7597997188568115, 0.7300888299942017]",0.772102415561676,0.7708
O,,2,1,"[0.3700007498264313, 0.3353838622570038, 0.5999789237976074, 0.3583836257457733, 0.38117602467536926, 0.37304434180259705, 0.40226367115974426, 0.3793550431728363, 0.39552006125450134, 0.619573175907135, 0.3805846571922302, 0.37893640995025635, 0.35713326930999756]","[0.5954349040985107, 0.24583107233047485, 0.7414324283599854, 0.6744645833969116, 0.747860312461853, 0.7584195137023926, 0.7569071054458618, 0.2497282326221466, 0.37630194425582886, 0.22871753573417664, 0.7938238382339478, 0.3350215256214142, 0.25936344265937805, 0.3564221262931824, 0.2817462980747223, 0.2775386869907379, 0.3578287959098816, 0.23291823267936707, 0.7085887789726257, 0.5865845084190369, 0.8080680966377258, 0.35621142387390137, 0.33364349603652954, 0.23073548078536987, 0.6948703527450562, 0.3036113381385803]",-0.6360505819320679,-0.6313
C,,3,1,"[0.3883935511112213, 0.3953740894794464, 0.374342679977417, 0.39291447401046753, 0.3478274643421173, 0.3925701379776001, 0.40642082691192627, 0.36047711968421936, 0.38829803466796875, 0.3545606732368469, 0.37658727169036865, 0.3914920389652252, 0.3045974373817444]","[0.37563470005989075, 0.372750461101532, 0.3063172996044159, 0.7121056914329529, 0.3141714036464691, 0.3420165777206421, 0.7420547008514404, 0.3620878756046295, 0.33055776357650757, 0.7346423864364624, 0.29779598116874695, 0.7689981460571289, 0.3147830069065094, 0.3642053008079529, 0.37096574902534485, 0.6836442947387695, 0.3779994547367096, 0.3466930091381073, 0.33606046438217163, 0.21475502848625183, 0.6833094954490662, 0.19630460441112518, 0.385353147983551, 0.3377015292644501, 0.2685629427433014, 0.3616520166397095]",0.029189415276050568,0.0358
C,,4,1,"[0.38949188590049744, 0.3865630626678467, 0.3578447103500366, 0.4154835641384125, 0.37382251024246216, 0.34536319971084595, 0.3825518786907196, 0.3824584484100342, 0.3728066086769104, 0.36078572273254395, 0.3899248540401459, 0.36398646235466003, 0.3881066143512726]","[0.33035874366760254, 0.6940500736236572, 0.7118661999702454, 0.3631989061832428, 0.6747608780860901, 0.34007349610328674, 0.3704058527946472, 0.6855437159538269, 0.24534231424331665, 0.6817466020584106, 0.8126416206359863, 0.7473580241203308, 0.6861898899078369, 0.7041546702384949, 0.2645948827266693, 0.3596305847167969, 0.7076802849769592, 0.3170256018638611, 0.7314273118972778, 0.7146278023719788, 0.3983261287212372, 0.546168863773346, 0.30100390315055847, 0.3190871477127075, 0.3457067012786865, 0.6636942625045776]",0.15145933628082275,0.1454
N,,5,1,"[0.428107887506485, 0.35280728340148926, 0.3876383304595947, 0.3628383278846741, 0.38972246646881104, 0.6145239472389221, 0.3925288915634155, 0.3682965934276581, 0.40739330649375916, 0.35792040824890137, 0.3770209550857544, 0.3852187991142273, 0.35653963685035706]","[0.33026963472366333, 0.3359346091747284, 0.3420105576515198, 0.7253656387329102, 0.33627671003341675, 0.7481803894042969, 0.7437970638275146, 0.3622218668460846, 0.49731317162513733, 0.2755759656429291, 0.7164981961250305, 0.6226718425750732, 0.33508336544036865, 0.38024941086769104, 0.3745409846305847, 0.31322094798088074, 0.6868180632591248, 0.34333544969558716, 0.7203601002693176, 0.341411828994751, 0.3880699872970581, 0.709190845489502, 0.38621798157691956, 0.758081316947937, 0.7443895936012268, 0.3972041606903076]",-0.4235857129096985,-0.4271
C,,6,1,"[0.3706875741481781, 0.377930223941803, 0.38087359070777893, 0.37366923689842224, 0.38892096281051636, 0.34944379329681396, 0.357514888048172, 0.38221266865730286, 0.37739554047584534, 0.37439829111099243, 0.3406831920146942, 0.3757806122303009, 0.41374489665031433]","[0.753757655620575, 0.34525275230407715, 0.7155726552009583, 0.34750017523765564, 0.2116858959197998, 0.36406055092811584, 0.7314012050628662, 0.3003354072570801, 0.7353655695915222, 0.26661181449890137, 0.21295002102851868, 0.23583613336086273, 0.31682243943214417, 0.301396906375885, 0.6880782842636108, 0.7058246731758118, 0.7700352072715759, 0.7127143740653992, 0.381025493144989, 0.6980581283569336, 0.27275732159614563, 0.34946906566619873, 0.3836885094642639, 0.37661319971084595, 0.6708673238754272, 0.33039605617523193]",0.11941196024417877,0.1211
C,,7,1,"[0.39681097865104675, 0.40938955545425415, 0.3482358157634735, 0.3868463635444641, 0.3868355453014374, 0.3832436800003052, 0.34438449144363403, 0.38721856474876404, 0.3812350332736969, 0.39379075169563293, 0.37380075454711914, 0.4075700342655182, 0.36668819189071655]","[0.313332200050354, 0.3451997935771942, 0.3142848014831543, 0.3375750780105591, 0.32957789301872253, 0.37869635224342346, 0.3308558762073517, 0.6961934566497803, 0.7216199040412903, 0.3587610423564911, 0.32258251309394836, 0.3594273030757904, 0.737801194190979, 0.7006918787956238, 0.31098365783691406, 0.6497860550880432, 0.3746453821659088, 0.29927897453308105, 0.3216841220855713, 0.6970863342285156, 0.33087655901908875, 0.2609855532646179, 0.8366355895996094, 0.3025737702846527, 0.6977030634880066, 0.4467729926109314]",0.08104491233825684,0.0718
